date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
01/01/1880,January,The wind North West pleasant Thermometer 32 degrees.,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,DD,,,RL
01/02/1880,January,The wind from South West to W. Thermometer 40 degrees above 0 Went to West Gouldsboro with mail. Reed letter from the Auditor of the Treasury for the Post Office Department stahing check sent me No 14872 lost and payment stoped at Po in Portland,somewhat confident,West Gouldsboro,mentioned,Home,assumed,NA,NA,NA,NA,NA,NA,NA,read,Auditor of the Treasury ,NA,SWW,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,DD,unsure in bold,,RL
01/03/1880,January,The wind North West. Thermometer 32° at noon Went to West Gouldsboro to carry shup pilts for J.F.K.,somewhat confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,DD,unsure in bold,,RL
01/04/1880,January,The wind Southerly and rainy all day with the Thermometer 35 degrees Went to Sullivan Steam boat whard to carry Mrs Almina Bourget,somewhat confident,Sullivan,mentioned,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,rainy,rainy,NA,35,NA,NA,NA,NA,DD,unsure in bold,,RL
01/05/1880,January,The wind North West Thermometer 28 degrees Went to West Gouldsboro with the mail. Wrote to Town Clerk to get Charles E. Kingsley and Hannah C Grover Published both of Gouldsboro,confident,West Gouldsboro  ,mentioned,Home,NA,NA,NA,NA,NA,NA,NA,NA,write,NA,Town Clerk,NW,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,DD,unsure in bold,,RL
01/06/1880,January,The wind South East. Thermometer 33 degrees bought. and hauled home one half cord of hard wood from Wm Rands wood shed In the evening went to the Steam boat Wharf meeting Was chosen Clerk and adjourned untill tomorrow night,confident,Winter Harbor,assumed,William Rands wood shed,mentioned,NA,NA,NA,NA,1/2,cord,wood,no letter,NA,NA,SE,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,DD,,,RL
01/07/1880,January,The wind moderate Easterly and fine weather Thermometer 50 Commenced repairing Warren Smith Skiff in the fish house In the Evening Steam boat wharf meeting.,confident,Winter Harbor,assumed,"Home, Fish House, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,moderate,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,DD,,,RL
01/08/1880,January,The Thermometer 55 degrees above zero Calm and pleasant. Made two sliding sleds for children.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,DD,,,RL
01/09/1880,January,The wind Easterly and pleasant. Thermometer 47 degrees Went to West Gouldsboro with Mail. Wrote to Port Master at Portland to know if lost check 14872 had been cashed.,confident,West Gouldsboro,mentioned,Home,assumed,NA,NA,NA,NA,NA,NA,NA,write,NA,Port Master of Portland,E,NA,NA,pleasent,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,DD,,,RL
01/10/1880,January,The wind South West Thermometer. 40 degree down to 20 above at night the wind North West. Went to Geo S. Bunkers with N. A Bickford Reed certificate of the Inteded Marriage C. E. Kingsley from Town clerk.,confident,Winter Harbor,assumed,"Home, Geo S. Bunkers, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NW,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,DD,,,RL
