"","wind_dir_token"
"1",NA
"2","South"
"3","E.N.E"
"4","S.W"
"5","E"
"6","North"
"7","west"
"8","West"
"9","N.N.W"
"10","S.S.E"
"11","Eastward"
"12","North West"
"13","N.W"
"14","southward"
"15","North East"
"16","south"
"17","North west"
"18","N.E"
"19","Northwest"
"20","S E"
"21","NE"
"22","N.N.E"
"23","N"
"24","W.S.W"
"25","S.E"
"26","W"
"27","eastward"
"28","South West"
"29","ESE"
"30","W.N.W"
"31","SE"
"32","East"
"33","southerly"
"34","Southerly"
"35","S"
"36","south west"
"37","westward"
"38","Easterly"
"39","Northly"
"40","N.W."
"41","N.E."
"42","Southly"
"43","South west"
"44","Northerly"
"45","south West"
"46","NW"
"47","S.S.W"
"48","westerly"
"49","South East"
"50","SSE"
"51","Westerly"
"52","S.W."
"53","N.N.W."
"54","Southward"
"55","NorthWest"
"56","N. E"
"57","Eastly"
"58","E.S.E"
"59","Southwest"
"60","S. S. W"
"61","N. N. W"
"62","S. S. E"
"63","N. N. E"
"64","N. W"
"65","S. W"
"66","W. N. W"
"67","W. S. W"
"68","E. N. E"
"69","N.N. W"
"70","S. E"
"71","Westward"
"72","S.E."
"73","north East"
"74","northerly"
"75","West North West"
"76","W N W"
"77","north West"
"78","south east"
"79","Southeast"
"80","WNW"
"81","north"
"82","NorthNorthEast"
"83","west North West"
"84","Northward"
"85","SouthWest"
"86","NorthEast"
"87","WestNorthWest"
"88","SouthSouthWest"
"89","NNW"
"90","West NorthWest"
"91","West SouthWest"
"92","North NorthWest"
"93","W.SW"
"94","west north west"
"95","South SouthWest"
"96","EastNorthEast"
"97","EN.E"
"98","SouthEast"
"99","northWest"
