date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
1/1/1883,January,"The first hours of this year in Long Island Sound of  Falkners Island on bound of Schr Chromo From New York bound for Portsmouth Wind West and very dark and overcast. At 5 in morning passed out of the Race, and at 8 am of Point Judith at noon of vineyard Light Ship, at dark between Tarpaulin Cove and Vineyard Haven At 10 PM down to Cross Rip. not liking looks of the weather tacked ship to beat lack. Midnight tide turned E. Anchored. Commenced snowing moderately",confident,"Long Island Sound, Falkners Island",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W ,NA,NA,NA,NA,NA,overcast,NA,moderate snow,NA,NA,NA,NA,NA,GG,"unsure in bold, wind direction entered in am as do not specify, same with ""overcast""",GG,GG
1/2/1883,January,Snowing from midnight untill day light. where it cleared up Wind WNW Got underway at 2 miles West from Cross Rip and went back to Edgartown. In the afternoon wind hauled Northerly,confident,Edgartown,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WNW,N ,NA,NA,NA,NA,"snowing, cleared up",NA,NA,NA,NA,NA,NA,NA,GG,"unsure in bold, ""WNW"" entered in am as do not specify",GG,GG
1/3/1883,January,Wind Easterly and hauled around South and looked like a storm. In the afternoon wind hauled Westerly and in the evening West South West and cleared up,confident,Edgartown,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E, S",W ,WSW,NA,NA,NA,storm,NA,cleared up,NA,NA,NA,NA,NA,GG,NA,GG,GG
1/4/1883,January,wind Northwest and looking like snow. dare not go out of Edgartown at night wind North,confident,Edgartown,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NW,NA,N ,NA,NA,NA,snow ,NA,NA,NA,NA,NA,NA,NA,GG,"wind direction entered in am as do not specify, same with weather cond",GG,GG
1/5/1883,January,Wind North East and stuck with snow all day. Laid at anchor all day at Edgartown,confident,Edgartown,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,NA,NA,NA,NA,snow,snow,snow,NA,NA,NA,NA,NA,GG,wind direction entered in am as do not specify,GG,GG
1/6/1883,January,Wind Easterly all day. and thick with snow quite blustering and cold. Lay at anchor all day at Edgartown,confident,Edgartown,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E ,E,E,NA,NA,NA,"thick snow, blustering, cold","thick snow, blustering, cold","thick snow, blustering, cold",NA,NA,NA,NA,NA,GG,NA,GG,GG
1/7/1883,January,Wind South West and thick rain all the forenoon At night wind hualing Northerly Laid at anchorall day at Edgartown,confident,Edgartown,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSW,NA,N,NA,NA,NA,thick rain,NA,NA,NA,NA,NA,NA,NA,GG,NA,GG,GG
1/8/1883,January,Wind NorthEast and pleasant. at night very cloudy. and in the evening Stormy. Laid at anchor in Edgartown Schr Chromo,confident,Edgartown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,NA,pleasant,NA,NA,NA,NA,"cloudy, stormy",NA,NA,NA,NA,NA,GG,wind direction entered in am as do not specify,GG,GG
1/9/1883,January,Wind North untill night blowing fresh and very overcast wind hauled Easterly at 8 PM let go another anchor,confident,Edgartown,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,E,blowing fresh,NA,NA,very overcast,NA,NA,NA,NA,NA,NA,NA,GG,"unsure in bold, wind speed entered in am as do not specify, same with weather cond",GG,GG
1/10/1883,January,"Wind North East and blowing, A gale and heavy snow storm lay all day with both anchors ahead at Edgartown",confident,Edgartown,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,NA,blowing  ,NA,NA,heavy snow storm,NA,NA,NA,NA,NA,NA,NA,GG,"unsure in bold, wind speed entered in am as do not specify, same with weather cond and wind direction",GG,GG
1/11/1883,January,Wind North and thick with snow all day lay at anchor in Edgartown,confident,Edgartown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,thick with snow,NA,NA,NA,NA,NA,NA,NA,GG,"wind direction entered in am as do not specify, same with weather cond",GG,GG
1/12/1883,January,Wind from North to Northwest got underway at Edgartown in the afternoon and went out by Cape Page Wind blew so heavy went back and anchored between Cape Page and Edgartown light,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N, NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,wind direction entered in am as do not specify,GG,GG
1/13/1883,January,"Wind South South West got underway at day light Passed Polluck Rip at 10.15 AM Passed Nausett at 12.30pm Cape Cod 1.45 PM and hauled down mainsail and double reefed it also foresail and took in flying jib. blowing a gale, After vessel passed Race point She was hit very bad. Passed by Thatchers Island 9.30 PM. raining bound to Portsmouth midnight most over to Isles of Shoales weather looking very bad",somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SSW,NA,NA,NA,blowing a gale,NA,very bad,NA,NA,NA,NA,NA,NA,NA,GG,"unsure in bold, wind direction entered in am as do not specify, same with weather cond",GG,GG
1/14/1883,January,At one oclock in the morning passed Isle of Shoales under double sails blowing fresh South west and rainning anchored at Portsmouth Outer Harbor at 2 AM at 11 AM took Pilot Wind Westerly and drizzling rain beat to Portsmouth at the coal dock ready to discharge pleasant weather in the afternoon,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW, W",NA,NA,blowing fresh,NA,NA,drizzling rain,pleasant,NA,NA,NA,NA,NA,NA,GG,unsure in bold,GG,GG
1/15/1883,January,Wind NorthWest and pleasant Stevedores rigged up purchase tp discharge coal in forenoon and in the afternoon commenced taking out coal and in the afternoon commenced taking out coal,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,"unsure in bold, wind direction entered in am as do not specify
",GG,GG
1/16/1883,January,Very moderate all day wind NW finished discharging at 2 oclock pm then there was not wind enough get down river against the tide So we laid at the wharf where I discharged ,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NW,NW,NW,very moderate,very moderate,very moderate,NA,NA,NA,NA,NA,NA,NA,NA,GG,unsure in bold,GG,GG
1/17/1883,January,Wind very moderate North Easterly. Got underway from the wharf Portsmouth and anchored in Sperse coal on kittery side In the afternoon it commenced to snow and wind hauled more Easterly ,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,E,NA,very moderate,NA,NA,NA,snow,NA,NA,NA,NA,NA,NA,GG,"unsure in bold, wind speed entered in am as do not specify, same with ""NE""",GG,GG
1/18/1883,January,Wind West in the morning got underway passed whales Back at 8AM and Cape Elizabeth 12.30 Wind blowing very heavy WNW at 2PM wind moderated and hauled to the south at sunset between the Cuckholds and Squirrel Island went into Booth Bay and anchored,confident,Booth Bay,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,WNW,S,NA,"blowing very heavy, moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,unsure in bold,GG,GG
1/19/1883,January,Got underway at 2 oclock in the morning Wind North West and moderate. after got out of Boothbay wind hauled North. Then baffling from North to North East got into the mussle Ridge at 10 AM.  with head tide then calm and drifted out by White Head. When the flood tide made got through the mussle Ridge and anchored at Owls Head at dark nearly Calon,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NW, N, NE",NA,NA,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,unsure in bold,GG,GG
1/20/1883,January,Wind North East moderate and very overcast all day looking very much like snow lay at anchor all day at Owls Head at dark win ESE,confident,Owls Head,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,ESE,moderate,moderate,moderate,overcast,overcast,overcast,NA,NA,NA,NA,NA,GG,"""NE"" entered in am as do not specify",GG,GG
1/21/1883,January,At one oclock AM commenced raining. rained the remainder of the night and untill nearly noon when the wind hauled South West and blew fresh at noon reefed sails and got underway went by the Northern Head of Fox Island and through Deer Isle thorough fase at 5 pm went through yorks narrow wind moderated Arrived at Winter Harbor at 8PM Wind West,confident,Winter Harbor,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,W,NA,fresh blow,moderate,raining,NA,NA,NA,NA,NA,NA,NA,GG,unsure in bold,GG,GG
