date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check,
1/1/1886,January,"Wind Westerly and very fine. The Schr ""Chromo"" of I am master is here in New Bedford arriving yesterday from New York with coal and will haul up here after she is discharged. The tug boats are all gone to some wrecks and I can not get towed to the berth to discharge which is to Wamsutta Mills 3/4 mile above the Bridge. New Bedford So I take this day to finish onbending sails and unreeving rigging to store for the winter having the promise of a boat tomorrow to tow to the dock The cook leaves for home to day",somewhat confident,"New Bedford, New York",mentioned,NA,NA,NA,NA,NA,NA,NA,count,coal,no letter,NA,NA,W ,NA,NA,very fine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/2/1886,January,Wind North West and moderate and hauled around North East. The Chromo in New Bedford The mate knowing I have the promise of a boat and no more use for him leaves for home with one man. and I have one man left. Which is John K Norwick High water at night and no boat come to tow us to the dock and the vessel striped cannot he got underway All the blocks down and put ashore this morning. and the sails & rigging will go as soon as get to the dock,somewhat confident,New Bedford ,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"NW, NE",NA,NA,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,GG
1/3/1886,January,"Wind Easterly and very moderate with as little mist in the forenoon. At 2 oclock PM Capt Treworgy of Surry of the Schr ""Light of the East"" being on board of my vessel the ""Chromo"". helped heave up over anchor. I having one other man on board. they towed the Chromo with the yawl boat through the bridge and to the dock tree fourth mile above. The tug boat did not come to day to tow. and as the sails were all of could not be used. The vessel got to the dock at 7 p.m. Capt. Treworgy has shown agencies disposin in helping me as he is bound to the same dock. his sails being beat. could have got to the dock first. but insisted helping me as I arrived first",somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,very moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/4/1886,January,Wind South East fresh. Commenced discharging coal at Wamsutta Mills New Bedford. at 10 am Stored all the Chromo Sails and Rigging in Sail left occupied by Edward E. Hitch Have secured a berth for the Chromo for the winter. the cost being $10,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,NA,NA,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/5/1886,January,Wind South East. blowing fresh and a big storm no snow on the ground and no ice in the docks vessel at New Bedford to the wharf partly discharged of a load of coal. Did not work to day on cargo as it has been a heavy storm. At 4 PM cleared of wind S. West,confident,New Bedford,mentioned,NA,NA,NA,NA,NA,NA,1,load,coal,no letter,NA,NA,SE,NA,NA,blowing fresh,NA,NA,"big storm, heavy storm",cleared of,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/6/1886,January,Wind Westerly. Finished discharging the Chromo load of coal. and towed to Fair Haven and hauled the vessel up for winter.,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,1,load,coal,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/7/1886,January,Wind Westerly and Thermometer 18' above packed dunnage and getting ready to leave vessel. Settled freight money. and sent baggage to the Depot,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,GG,
1/8/1886,January,Wind moderate Westerly. Took cars in New Bedford at 9 am. for home. Arrived in Boston at 11 am. Intending to take the Boat at 4 PM for Rockland but the boat not going untill tomorrow. Went to the Eastern Depot. took cars at 7 P.M.,confident,"New Bedford, Rockland, Boston",mentioned,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/9/1886,January,Wind Easterly fresh. Arrives in Bangor at 5.45 AM. on the Eastern RR. Heavy snow storm At 7.25 AM took Maine Central R.R. arriving at Mt Desert Ferry at 10 am. Took the Str Sebanou intending to go to South Gouldbsboro. But on being told by the Capt of the boat that on account of the thick snow storm he should not be able to get to South Gouldbsboro I got of at Sullivan. And as the storm was so fierce I could get no team to bring me home. I started on foot. and walked from the Steam Boat landing in Sullivan home. arriving at dark a distance of abt 13 miles over frozen ground and through snow drifts. and blinding snow.,somewhat confident,"Bangor, Mt Desert Ferry, South Gouldsboro, Sullivan",mentioned,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,"fresh, heavy snow storm, thick snow storm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/10/1886,January,Wind Westerly About home,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/11/1886,January,Wind North North West Thermometer 6 degrees above. Received my baggage from the Boat via South Gouldsboro. About home.,confident,South Gouldsboro,mentioned,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NNW,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,GG,
1/12/1886,January,Wind North North West Thermometer 14 below zero. Ice making very fast. Work about home,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NNW,NA,NA,NA,NA,NA,NA,NA,NA,-14,NA,NA,NA,NA,NA,NA,NA,GG,
1/13/1886,January,Wind West North West Thermometer 10' below zero. Afternoon calm and warmer. work about home In evening met to Capt D R Hammonds house to see if we could organize a Lodge of instructions to be held at the hall and I was instructed to write to the Grand Lodge for instructions concerning a Lodge.,confident,Winter Harbor,assumed,"Grand Lodge, home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,WNW,NA,NA,calm,NA,NA,warm,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,GG,
1/14/1886,January,Wind Easterly moderate snow storm in afternoon. Commenced clearing up shop getting ready to work,confident,Winter Harbor,assumed,shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,moderate,NA,NA,NA,snow storm,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/15/1886,January,Wind very moderate North West and pleasant. Commenced work in shop. on various kinds,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,"very moderate, pleasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/16/1886,January,Nearly calm all day and very pleasant. About home all day. In the evening went to R Pendletons with family,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,"calm, pleasant","calm, pleasant","calm, pleasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/17/1886,January,Moderate North West wind and fine pleasant weather,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,moderate,NA,NA,"fine, pleasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/18/1886,January,Wind Westerly and fresh Thermometer 20' above. Work at home in shop building a wind mill.,confident,Winter Harbor,assumed,"home, shop",mentioned,NA,NA,NA,NA,NA,count,mill,no letter,NA,NA,W,NA,NA,NA,NA,NA,fresh ,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,GG,
1/19/1886,January,"Wind Easterly and moderate. the fore part of the day snowy, but in evening wind hauled out South Easterly, and heavy rain. A surprise party atour house in the evening consisting of 12 people I have been busy this day in shop on wind mill.",confident,Winter Harbor,assumed,shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,SE,moderate,NA,NA,snowy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/20/1886,January,Wind West heavy work all day in shop on windmill for my self In evening went to the Hall with 15 other masons to organize a Lodge of Instructions and I was chosen Master. N. A. Bickford SW A J Gevish JW G W Tracy SD J R Hammond JD Fered Sargent SEE. R Pendleton Treasurer Jabez Myrick Tyler,somewhat confident,Winter Harbor,assumed,"shop, Hall",mentioned,NA,NA,NA,NA,NA,count,windmill,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/21/1886,January,Wind from N.E. to South East. Work about home. Bought a quarter of beef of Winslow Joy. Signed note with G.W. Tracy for $26.08 pay able to Char Hutchings in six months,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"NE, SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/22/1886,January,Wind East North East with rain and sleet all day had Blacksmith work done on windmill,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,ENE,NA,NA,NA,NA,NA,rain,rain,rain,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/23/1886,January,Wind North West Fresh and at night cold work in shop,confident,Winter Harbor,assumed,shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,fresh,NA,cold,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/24/1886,January,Wind North Thermometer at zero all day At 5 oclock PM went to see Mr Gilman L Norwood who is very sick at home. G L Norwood Died at 8 oclock P.M.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,Gilman L Norwood died,GG,
1/25/1886,January,Wind North in morning Thermometer 4' below zero. Noon wind East and at 4 PM wind South Easterly. Evening snow storm Work in shop at home,confident,Winter Harbor,assumed,"shop, home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,"E, SE",NA,NA,NA,NA,NA,NA,snow storm,-4,NA,NA,NA,NA,NA,NA,NA,GG,
1/26/1886,January,"Wind Easterly and rainy Thermometer 40 above. AAt 1' am wind North West cleared up, good sleighing. Sent $1.00 to Narraguagus Lodge F. & A.M. for dues G.L. Norwood buried at 2 oclock afternoon",confident,NA,NA,Narraguagus Lodge,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NW,NA,NA,NA,NA,rainy,cleared up,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/27/1886,January,Wind Easterly and overcast. looking like snow Thermometer 24 degrees above Work in shop on various kinds of work. In evening went to the Masonic Meeting at the Hall,confident,Winter Harbor,assumed,"Hall, shop",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,"overcast, snow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/28/1886,January,Wind North East cold rain storm all day with sleeth work in shop,confident,Winter Harbor,assumed,shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE ,NA,NA,NA,NA,NA,"sleet, cold, rain","sleet, cold, rain","sleet, cold, rain",NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/29/1886,January,Wind North East misty. in forenoon. and cold rain in the afternoon. Hung the wind mill that I have been building for my self Many trees in forest broken down as also the Richards trees by the heavy sleet & ice on this. To all appearances the Birch trees suffer most large ones bed down their tops and breeze in the ice large limbs split down and great damage,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,"misty, heavy sleet",cold rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/30/1886,January,Very light air of wind Westerly in the morning. and Easterly and rainy in the afternoon thick rainy. Several vessels came into Winter Harbor for refuse bound East,confident,Winter Harbor,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"W, E",NA,NA,very light air,NA,NA,NA,rainy,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
1/31/1886,January,Wind NorthWest in forenoon. and Calm in afternoon. About home all day,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,calm ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/1/1886,February,Calm nearly all day. Snowy in forenoon Good Sleighing Sold N.A. Bickford one half ton hay,confident,NA,NA,NA,NA,NA,NA,NA,NA,1,ton,hay,no letter,NA,NA,NA,NA,NA,calm,calm,NA,snowy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/2/1886,February,"Wind North West Fresh breeze, Thermometer 12 degrees above zero. Registered letter to E.R. Wingate See. Narraguagus Lodge. Cherryfield for Grand Lodge certificate $1.25. Work in shop at home",confident,Winter Harbor,assumed,"shop, home",mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,E. R. Wingate,NW,NA,NA,fresh breeze,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,GG,
2/3/1886,February,Wind NorthWest fresh. Work in shop at home. In evening went to the Hall to a Masonic meeting of instructions myself master Opened on the first degree & initiated a candidate,confident,Winter Harbor,assumed,"shop, home, hall",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
