date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check,journal
1871-12-23T00:00:00Z,December,Was married at home in evening by William Rand Esqr.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Esqr? Esquire,NA,"WD, EP",1
1871-12-24T00:00:00Z,December,Went to meeting.,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,to?,NA,EP FL,1
1871-12-25T00:00:00Z,December,Shooting match all day in the evening to Christmas tree at the Hall.,confident,Winter Harbor,assumed,Hall,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Christmas tree?,NA,"WD, EP",1
1871-12-26T00:00:00Z,December,About home at work jobbing.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-27T00:00:00Z,December,Work about home recd letter from N. H. Higgins Ins agt.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,recieved,N. H. Higgins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Check abbreviation. Name? Insurance Agreement (Ins agt?) or Ins agent?,NA,"WD, EP",1
1871-12-28T00:00:00Z,December,Work about home.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-29T00:00:00Z,December,To work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-30T00:00:00Z,December,To work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-31T00:00:00Z,December,Went to meeting.,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-01T00:00:00Z,January,Work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
