date_mdy,journal_year,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check,journal
1871-12-23T00:00:00Z,1872,December,Was married at home in evening by William Rand Esqr.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Esqr? Esquire,NA,"WD, EP",1
1871-12-24T00:00:00Z,1872,December,Went to meeting.,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,to?,NA,EP FL,1
1871-12-25T00:00:00Z,1872,December,Shooting match all day in the evening to Christmas tree at the Hall.,confident,Winter Harbor,assumed,Hall,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Christmas tree?,NA,"WD, EP",1
1871-12-26T00:00:00Z,1872,December,About home at work jobbing.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-27T00:00:00Z,1872,December,Work about home recd letter from N. H. Higgins Ins agt.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,recieved,N. H. Higgins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Check abbreviation. Name? Insurance Agreement (Ins agt?) or Ins agent?,NA,"WD, EP",1
1871-12-28T00:00:00Z,1872,December,Work about home.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-29T00:00:00Z,1872,December,To work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-30T00:00:00Z,1872,December,To work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1871-12-31T00:00:00Z,1872,December,Went to meeting.,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-01T00:00:00Z,1872,January,Work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-02T00:00:00Z,1872,January,Work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-03T00:00:00Z,1872,January,Work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-04T00:00:00Z,1872,January,Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake,confident,"Winter Harbor, Ellsworth",mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,"N. H. Higgins, Jordan & Blake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,"One to Jordan + Blake?, went to Ellsworth or sent the letter to Ellsworth?",NA,"WD, EP",1
1872-01-05T00:00:00Z,1872,January,Wrote a will for Benj Rand,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,write,NA,Benjamin Rand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Wrote a will entered as wrote a letter,NA,"WD, EP, FL",1
1872-01-06T00:00:00Z,1872,January,Unwell took sweat at night.,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Unwell took sweat at night,NA,EP FL,1
1872-01-07T00:00:00Z,1872,January,Unwell staid in house.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-08T00:00:00Z,1872,January,Unwell staid in house.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-09T00:00:00Z,1872,January,Went to C. J. Guptills first time out since sat.,confident,Winter Harbor,assumed,"Home, Charles J. Guptill's, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Matches with records for Charles J Guptill,NA,"WD, EP",1
1872-01-10T00:00:00Z,1872,January,Work around home.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
