date_mdy,journal_year,month,journal_entry,location,local_place,latitude,longitude,temp_reported,below_zero,temp_values_1,temp_values_2,temp_mentioned
1878-02-25T00:00:00Z,1878,February,The wind North West Thermometer made moddle for a new boat.,Winter Harbor,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1878-05-16T00:00:00Z,1878,May,South East wind overcast Thermometer. Wrote letters to American Office Chas Burrill (of Ellsworth) and F.W. Webber (Cambridgeport) Daily Courier (Lowell)  Mrs. Geddy. Commenced laying platform around house,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1878-08-01T00:00:00Z,1878,August,The wind Southerly Thermometer wrote letters to G.S. Peters M Gallery &Co & Eldridge & Perry. Recd letter from Mary Smallidge,Winter Harbor,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1879-02-09T00:00:00Z,1879,February,The wind South South West In the morning the Thermometer was at 10 degrees above zero. and in the afternoon it was 28° degrees above and snowing most all day. Cleared up at night.,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1879-02-15T00:00:00Z,1879,February,The wind moderate all day Westerly Thermometer down 4° degrees below zero in Ellsworth. Had stoughters made for a Harness and came home in the afternoon. Sold the Eureka House to Bessie E Grant of Camden and had the writings done by Wm Rand by attorney.,"Ellsworth, Winter Harbor","Lake House, Home",NA,NA,TRUE,TRUE,NA,NA,FALSE
1879-06-28T00:00:00Z,1879,June,The wind Southerly and clear Thermometer work for R Pendleton on how row boats. Reed letter from Walter G Maker of Boston. Making inquiry about the price of board at the Eureka House. Went to West Gouldsboro at night heavy rain,"Winter Harbor, West Gouldsboro",Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1879-08-21T00:00:00Z,1879,August,The wind very moderate Thermometer Settled up with my boarders and I carried them to South Gouldsboro Steam boat wharf.,South Gouldsboro,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1879-10-07T00:00:00Z,1879,October,The wind West South West Thermometer very fresh breeze 62° started gunning bat the wind blew so hard I came back Acknowledged deed from Wm Rand to Chas Smallidge,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1879-10-25T00:00:00Z,1879,October,The wind N.N. West The Thermometer was down to 28 degrees in the morning. Helped J.F.Kingsley. get carrots down his cellar. Reed letter from A.P.Wiswell.,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1879-12-14T00:00:00Z,1879,December,The wind South East Thermometer. at night commenced snowing,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1880-01-14T00:00:00Z,1880,January,The wind North West Thermometer in the morn at 0 in the afternoon 20 above. Wrote letter to the Bangor Commerilal Reed Card from H B Sandrs,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1880-02-09T00:00:00Z,1880,February,The wind North West and the Thermometer went from 28 above down to zero. Went in the woods all day hauling out firewood from the stream lot to the Town road.,Winter Harbor,"Home, Woods, Stream, Town Road, Home",NA,NA,TRUE,FALSE,NA,NA,FALSE
1880-07-31T00:00:00Z,1880,July,Wind North West in forenoon South West in afternoon work all day haying hauled in 51 stacks of hay. Thermometer at noon was 78 degrees high Reed letter from C. J. Abbot. Atty at Law. Casting called for advertising in Boston Traveller.,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1880-08-07T00:00:00Z,1880,August,The wind very moderate all day and fine weather went out fishing from home in dora. Thermometer in the afternoon when I came in from fishing 80 degrees. Reed letter from Helen Stevens at Leadsvelle,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1880-08-16T00:00:00Z,1880,August,Wind North West all day Thermometer at Sun rush down to 50 degrees but warm in afternoon. went to my troll,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1880-09-02T00:00:00Z,1880,September,The wind South West and rough Went to my troll hake very scarce Thermometer in afternoon when I got home 70°,Winter Harbor,Home,NA,NA,TRUE,FALSE,NA,NA,FALSE
