"place","journal","journal_entry","date_mdy","month","transcription_accuracy","location","location_accuracy","local_place_accuracy","latitude","latitude_origin","longitude","longitude_origin","quantity","unit","item","letter","letter_to","letter_from","wind_direction_am","wind_direction_pm","wind_direction_night","weather_condition_am","weather_condition_pm","weather_condition_night","temperature_am","temperature_pm","temperature_night","image_path","image_description","recorder","notes","noteworthy","second_check"
"Home",1,"Was married at home in evening by William Rand Esqr.","12/23/1871","December","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH","Esqr? Esquire",NA,"WD, EP"
"Shop",1,"To work in shop.","12/30/1871","December","confident","Winter Harbor","mentioned","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter","Na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Work around home.","1/10/1872","January","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Staid at home","3/10/1872","March","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Work at home in shop","3/22/1872","March","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Lodge Of Good Templars",1,"Reed letter from Geo W Tracy. Evening went to Lodge of Good Templars","3/30/1872","March","confident","Winter Harbor","mentioned","mentioned",0,NA,0,NA,NA,NA,NA,"read",NA,"Geo W Tracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Shop",1,"Work in shop","4/4/1872","April","confident","Winter Harbor","mentioned","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Shop",1,"work on shop finished windmill","4/16/1872","April","confident","Winter Harbor","mentioned","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Shop",1,"work in shop","5/10/1872","May","confident","Winter Harbor",NA,"mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Lodge Of Good Templars",1,"Reaving of rigging pulling on beak stays went to Lodge of Good Templars staid at Thomas Smallige all night","5/11/1872","May","confident","Winter Harbor","mentioned","mentioned",0,NA,0,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"staid at home","6/2/1872","June","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"breakfast at home went up Skillings river","6/26/1872","June","confident","Winter Harbor, Skillings River","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
